name,district,address,phone,website,specialty_tags
上群動物醫院,中山區,南京東路三段215號,02-27753007,https://www.shangqun.com.tw/,心臟科|眼科|皮膚科|腫瘤科
伊甸園動物醫院,中山區,北安路554巷33號1樓,02-8509-2579,https://eden-vet.com/,24H急診|重症加護
路米動物醫院,中山區,民生合江路口,02-25163328,https://lumi.vet/,眼科|心臟科|腫瘤科|化療|神經科|泌尿科
大安動物醫院,中正區,新生南路一段162號,02-23581199,https://daan-vet.com/,24H急診|重症加護
綠洲動物醫院,中正區,北平東路16號1樓,02-23912220,https://www.oasisvets.tw/,腫瘤科
白牙動物醫院,信義區,信義區,02-27653690,,牙科|眼科|心臟科
汎亞動物醫院,士林區,承德路四段183號,02-28826655,http://panasia-vet.com/,眼科|外科|腫瘤科|骨科|神經外科
台大動物醫院,大安區,基隆路三段153號,02-27396828,https://www.vh.ntu.edu.tw/,牙科|眼科|心臟科|腫瘤科|骨科|神經外科|泌尿科|外科
常明動物醫院,大安區,復興南路二段322號1樓,02-27030809,https://www.everbrightvet.com/,眼科|白內障|青光眼
弘吉獸醫院,大安區,大安區,02-27410958,https://hongjivetdentistry.com/,牙科|洗牙
敦品動物醫院,大安區,瑞安街124號,02-2707-0877,https://drpet.com.tw/,牙科|根管治療|牙周病
樂膚莉動物醫院,大安區,仁愛路三段82號,02-2784-6866,https://lovelyvetderm.wixsite.com/derm,皮膚科|過敏|藥浴
沐恩動物醫院,大安區,辛亥路一段86號,02-23660203,http://www.muanamc.tw/,外科|骨科|神經外科|腫瘤科|泌尿科
101台北貓醫院,中山區,建國北路3段101號1樓,02-25091101,,
仁慈動物醫院,中山區,北安路458巷19號1樓,02-25336983,,
以立動物醫院,中山區,敬業一路38號,02-77288028,,
伊甸動物醫院,中山區,北安路554巷33號1樓,02-85092579,,
凱揚動物醫院,中山區,八德路2段331號,02-27512218,,
吉林動物醫院,中山區,吉林路121~1號1樓,02-25642010,,
吉米犬貓專科醫院,中山區,林森北路649號,02-25855991,,
國寶動物醫院,中山區,八德路2段229-2號,02-27211798,,
大晶動物醫院,中山區,農安街72號1樓,02-25970625,,
大直動物醫院,中山區,北安路468號1樓,02-85096306,,
太僕動物醫院,中山區,龍江路260號1樓,02-25170902,,
安晴動物醫院,中山區,林森北路506號,02-25217758,,
小小貓動物醫院,中山區,朱崙街91號1樓,02-25337529,,
廣慈動物醫院,中山區,錦州街371號1樓,02-25044236,,
弘安動物醫院,中山區,五常街69號1樓,02-25045630,,
復生動物醫院,中山區,民生東路1段78號1樓,02-25643940,,
德心動物醫院,中山區,長八德路2段121號,02-25045355,,
恩典動物醫院,中山區,民生東路2段45號1樓、2樓,02-25314545,,
